code_class,name,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5
Endogenous,STAT1,NM_007315.3,2167,456,3352,4220,2167,596,2080,895,1264,1251
Endogenous,CTSS,NM_004079.3,430,385,1447,2863,430,960,3944,1218,2075,1687
Endogenous,PDK1,NM_002610.3,435,252,348,248,435,128,850,187,201,142
Endogenous,ITGAV,NM_001144999.2,612,1041,2623,3344,612,1271,873,2022,979,1529
Endogenous,ANGPT1,NM_001199859.1,21,53,114,99,21,29,30,43,40,76
Endogenous,BCL6B,NM_181844.3,15,43,114,113,15,28,21,40,51,37
Endogenous,CDH2,NM_001792.3,48,35,45,530,48,41,38,42,51,57
Endogenous,CSF3R,NM_000760.3,166,124,403,423,166,140,88,92,115,101
Endogenous,RELB,NM_006509.3,82,56,272,408,82,94,109,79,83,94
Endogenous,CXCL16,NM_001100812.1,109,124,756,607,109,292,275,173,211,280
Endogenous,IL6R,NM_000565.3,27,71,193,157,27,52,78,36,58,37
Endogenous,PDGFA,NM_033023.4,35,47,1154,177,35,57,47,26,66,38
Endogenous,PIK3R1,NM_001242466.1,119,173,2252,715,119,233,153,253,247,299
Endogenous,HK1,NM_000188.2,499,292,2330,1311,499,222,203,247,276,225
Endogenous,AXL,NM_001699.4,65,75,343,504,65,154,93,119,103,194
Endogenous,HK2,NM_000189.4,658,329,300,896,658,66,110,412,541,129
Endogenous,PDGFRB,NM_002609.3,347,409,3181,3354,347,571,309,387,695,865
Endogenous,FADD,NM_003824.3,92,489,607,3706,92,563,87,60,132,488
Endogenous,CD74,NM_001025159.2,2455,2542,15993,15141,2455,6166,9687,3755,4256,5368
Endogenous,RIPK2,NM_003821.5,124,176,486,474,124,138,172,299,137,157
Endogenous,CD45RB,ENST00000367367.1,45,38,155,247,45,80,158,81,86,96
Endogenous,BAD,NM_004322.3,86,67,765,401,86,52,52,111,83,68
Endogenous,PKM,NM_001206796.2,5714,2857,8733,8615,5714,1913,1167,1422,2512,2884
Endogenous,KLRB1,NM_002258.2,15,20,67,53,15,28,86,37,51,29
Endogenous,ADORA2A,NM_000675.5,128,33,66,132,128,26,38,23,41,36
Endogenous,IFIT1,NM_001270930.1,1506,116,693,1752,1506,107,60,215,469,446
Endogenous,UBE2T,NM_014176.1,46,26,102,389,46,33,41,38,46,40
Endogenous,RPL23,NM_000978.3,3210,5939,16936,9301,3210,3335,3322,2815,3960,3545
Endogenous,ARG2,NM_001172.3,32,70,86,81,32,54,28,24,53,28
Endogenous,TGFBR2,NM_001024847.2,114,238,1127,672,114,287,450,448,465,487
Endogenous,CRABP2,NM_001199723.1,2655,1783,3664,12227,2655,2236,975,791,2513,2526
Endogenous,BLK,NM_001330465.1,18,18,6,12,18,20,22,14,18,19
Endogenous,CCL14,NM_032962.4,41,416,2421,243,41,161,247,542,500,357
Endogenous,CCNB1,NM_031966.2,421,135,309,1093,421,95,118,70,204,227
Endogenous,STAT2,NM_005419.2,998,514,3581,3903,998,819,874,752,1076,1316
Endogenous,IKBKB,NM_001190720.2,238,260,601,483,238,158,112,98,132,109
Endogenous,ZEB2,NM_001171653.1,214,283,1391,1165,214,316,548,435,571,663
Endogenous,LRRC32,NM_005512.2,85,142,317,648,85,150,189,168,222,339
Endogenous,IL22RA1,NM_021258.2,33,33,89,44,33,32,26,20,33,36
Endogenous,ELOB,NM_007108.2,42,54,109,133,42,53,44,54,53,69
Endogenous,ITGA1,NM_181501.1,70,92,647,344,70,61,82,73,149,127
Endogenous,IL24,NM_001185158.1,20,20,20,47,20,28,20,26,21,22
Endogenous,PVRIG,NM_024070.3,49,41,305,263,49,53,72,58,46,58
Endogenous,RB1,NM_000321.2,252,229,931,1088,252,352,454,269,396,418
Endogenous,SRP54,NM_001146282.1,170,175,468,424,170,108,196,196,244,216
Endogenous,ICAM3,NM_002162.3,90,79,311,376,90,124,276,113,130,134
Endogenous,CCR5,NM_000579.3,49,44,116,163,49,72,252,55,67,70
Endogenous,CTLA4,NM_001037631.2,25,19,22,76,25,30,116,25,43,24
Endogenous,GLS,NM_014905.4,68,69,692,717,68,105,77,51,62,79
Endogenous,ITGAE,NM_002208.4,120,219,456,644,120,175,298,158,234,251
Endogenous,MET,NM_000245.2,110,96,1159,85,110,102,59,67,181,87
Endogenous,WNT3A,NM_033131.3,18,30,17,22,18,29,15,27,23,13
Endogenous,TYMP,NM_001113755.2,752,388,2964,5178,752,421,638,647,445,932
Endogenous,IFI16,NM_001206567.1,207,169,1022,897,207,345,410,328,392,579
Endogenous,PVR,NM_001135768.2,68,77,353,229,68,40,24,26,39,51
Endogenous,P4HA2,NM_001017973.1,157,314,209,315,157,124,101,78,144,179
Endogenous,BRIP1,NM_032043.2,71,49,125,317,71,54,46,187,189,95
Endogenous,ESR1,NM_000125.2,23,1154,3720,2923,23,182,863,754,1100,651
Endogenous,DAB2,NM_001244871.1,120,129,711,658,120,234,226,228,220,326
Endogenous,DUSP1,NM_004417.3,111,719,1403,740,111,164,241,486,291,228
Endogenous,CD8B,NM_172213.2,30,31,93,79,30,35,76,30,31,50
Endogenous,ACVR1C,NM_145259.2,29,33,47,35,29,28,33,49,32,60
Endogenous,IL15,NM_000585.4,25,26,42,30,25,38,61,50,37,28
Endogenous,KIR3DL1,NM_001322168.1,19,21,22,13,19,29,28,21,24,18
Endogenous,CDH1,NM_004360.3,3142,758,7733,8486,3142,276,1355,3140,4475,3540
Endogenous,HES1,NM_005524.2,267,152,2566,1989,267,343,267,65,449,404
Endogenous,IHH,NM_002181.2,18,28,20,20,18,17,25,26,37,16
Endogenous,CCL19,NM_006274.2,24,35,110,345,24,41,52,24,103,70
Endogenous,C2,NM_000063.5,107,44,82,241,107,40,130,72,45,66
Endogenous,TLR7,NM_016562.3,23,29,37,78,23,34,46,39,40,53
Endogenous,IL2RA,NM_000417.2,19,14,31,37,19,34,36,22,28,34
Endogenous,PRKAA2,NM_006252.3,27,62,187,40,27,60,22,31,45,29
Endogenous,COL11A2,NM_001163771.1,13,14,58,32,13,17,17,8,21,17
Endogenous,TNFRSF10D,NM_003840.4,22,30,81,36,22,36,28,37,31,34
Endogenous,SIGLEC8,NM_014442.2,13,15,22,54,13,13,35,44,27,32
Endogenous,PC,NM_000920.3,103,108,1023,166,103,51,44,101,118,103
Endogenous,IL17A,NM_002190.2,24,20,77,53,24,26,22,24,20,28
Endogenous,GLI1,NM_005269.2,19,18,124,51,19,35,21,28,55,25
Endogenous,GNG4,NM_001098721.1,37,51,17,63,37,16,16,25,19,17
Endogenous,LDHB,NM_001174097.2,572,465,2565,808,572,272,315,262,696,393
Endogenous,DTX4,NM_015177.1,78,29,330,461,78,67,37,38,41,134
Endogenous,CD3G,NM_000073.2,14,16,17,21,14,25,60,23,29,20
Endogenous,S100A8,NM_002964.4,2954,16,249,80,2954,80,70,180,48,28
Endogenous,ZC3H12A,NM_025079.2,29,30,186,100,29,28,28,31,18,22
Endogenous,IER3,NM_003897.3,280,817,2538,812,280,106,317,61,382,91
Endogenous,CD4,NM_000616.4,29,33,148,151,29,51,57,29,41,35
Endogenous,S100A12,NM_005621.1,21,18,60,42,21,32,21,44,25,18
Endogenous,CD6,NM_001254751.1,16,22,68,122,16,46,76,31,46,35
Endogenous,CD163,NM_203416.2,144,83,462,729,144,80,289,605,197,169
Endogenous,DUSP2,NM_004418.3,22,25,73,45,22,22,28,29,22,19
Endogenous,HERC6,NM_001165136.1,158,56,376,374,158,66,59,67,119,109
Endogenous,MRC1,NM_002438.2,23,64,320,96,23,97,201,201,145,87
Endogenous,DLL4,NM_019074.2,36,53,252,179,36,33,41,40,95,81
Endogenous,SAMSN1,NM_001256370.1,63,69,114,556,63,113,383,137,130,259
Endogenous,CD28,NM_001243077.1,19,41,80,91,19,54,68,25,38,55
Endogenous,TAP2,NM_018833.2,321,120,860,749,321,115,255,173,196,156
Endogenous,ICOS,NM_012092.3,6,14,17,52,6,25,78,22,29,24
Endogenous,TNFSF12,NM_003809.2,45,100,692,776,45,142,95,85,112,120
Endogenous,IFITM2,NM_006435.2,956,569,2987,4922,956,953,602,1085,791,1088
Endogenous,DNMT1,NM_001130823.2,319,236,1553,1391,319,306,269,215,294,326
Endogenous,TNFSF8,NM_001244.3,32,28,49,85,32,30,42,35,40,67
Endogenous,TGFB2,NM_001135599.3,48,49,246,123,48,248,88,58,141,139
Endogenous,TMEM140,NM_018295.3,64,41,176,283,64,48,91,56,64,84
Endogenous,COL11A1,NM_001854.3,514,133,41,6891,514,1455,513,1000,362,3524
Endogenous,GIMAP6,NR_024115.1,20,40,231,117,20,38,68,60,63,50
Endogenous,IRF4,NM_002460.1,33,79,103,214,33,47,673,37,212,72
Endogenous,BNIP3,NM_004052.3,445,240,332,221,445,209,135,150,167,187
Endogenous,FPR3,NM_002030.4,225,79,231,857,225,138,394,255,173,313
Endogenous,HLA-C,NM_002117.4,1786,695,6150,4264,1786,575,1252,644,670,731
Endogenous,VEGFC,NM_005429.4,135,69,307,305,135,85,133,113,150,169
Endogenous,SIGLEC1,NM_023068.3,58,66,296,487,58,43,40,70,61,94
Endogenous,BID,NM_001196.3,40,34,196,144,40,71,53,30,57,74
Endogenous,MAPK10,NM_001318067.1,62,76,113,32,62,34,26,22,26,45
Endogenous,FCN1,NM_002003.4,16,24,118,40,16,30,32,29,30,22
Endogenous,H2AFX,NM_002105.2,71,33,163,196,71,36,52,67,59,44
Endogenous,CBLC,NM_001130852.1,34,35,82,130,34,29,22,21,40,32
Endogenous,CASP3,NM_032991.2,224,225,670,680,224,195,399,157,365,280
Endogenous,PIAS4,NM_015897.2,200,62,597,593,200,116,81,108,126,101
Endogenous,HLA-DRA,NM_019111.3,1430,2507,6505,6785,1430,5762,10826,4397,4299,5723
Endogenous,ULBP2,NM_025217.2,19,24,57,68,19,29,18,20,38,26
Endogenous,CASP1,NM_001223.4,71,77,368,214,71,102,177,95,109,134
Endogenous,MS4A2,NM_000139.3,18,19,66,284,18,29,53,26,40,64
Endogenous,HSD11B1,NM_181755.2,21,24,39,30,21,18,22,25,30,22
Endogenous,GAS1,NM_002048.2,47,41,1034,869,47,128,40,65,84,119
Endogenous,FUT4,NM_002033.3,41,42,163,208,41,60,53,47,52,62
Endogenous,CSF1,NM_000757.5,59,71,812,317,59,138,80,78,99,88
Endogenous,FAM30A,NR_026800.2,23,25,50,46,23,23,137,21,62,16
Endogenous,ITPK1,NM_001142593.2,273,1750,818,1268,273,159,214,254,455,297
Endogenous,BCAT1,NM_005504.6,81,26,83,344,81,94,96,98,84,135
Endogenous,CD80,NM_005191.3,43,20,56,198,43,45,39,33,42,89
Endogenous,C1QB,NM_000491.3,302,312,1642,2311,302,575,1721,1326,664,967
Endogenous,RELN,NM_005045.3,18,27,419,25,18,21,19,27,17,33
Endogenous,ICAM5,NM_003259.3,16,14,63,18,16,33,17,23,22,19
Endogenous,MAML2,NM_032427.1,39,53,385,156,39,101,56,61,72,121
Endogenous,OLR1,NM_002543.3,107,73,59,755,107,203,178,252,43,358
Endogenous,NFKBIE,NM_004556.2,58,43,143,179,58,49,70,47,59,57
Endogenous,WNT11,XM_011545241.2,20,19,70,34,20,61,27,24,19,30
Endogenous,LILRA3,NM_001172654.2,28,31,15,14,28,21,25,32,32,32
Endogenous,TNFSF13B,NM_001145645.2,51,81,174,176,51,77,143,65,78,115
Endogenous,TDO2,NM_005651.3,102,27,26,157,102,29,63,45,86,54
Endogenous,MAP3K5,NM_005923.3,64,125,613,177,64,215,127,155,179,128
Endogenous,HLA-F,NM_001098479.1,303,151,666,490,303,140,205,95,212,92
Endogenous,CD3E,NM_000733.3,28,42,106,146,28,63,149,65,89,63
Endogenous,RRM2,NM_001034.1,714,44,451,1340,714,108,223,195,374,227
Endogenous,C7,NM_000587.2,33,81,156,58,33,23,79,117,301,111
Endogenous,TNFRSF14,NM_003820.3,203,197,1726,829,203,196,265,237,168,246
Endogenous,FCGRT,NM_004107.4,216,403,2857,3464,216,343,379,303,1134,605
Endogenous,WNT2,NM_003391.2,41,24,100,99,41,29,89,27,24,94
Endogenous,MICB,NM_005931.3,40,21,165,244,40,40,109,72,45,59
Endogenous,HMGA1,NM_145902.2,253,110,642,759,253,100,91,95,106,79
Endogenous,IL21R,NM_021798.3,19,13,16,38,19,17,38,17,12,21
Endogenous,CD300A,NM_001256841.1,38,34,148,189,38,71,45,43,48,75
Endogenous,TWIST1,NM_000474.3,160,93,97,138,160,35,14,25,22,20
Endogenous,IL1RN,NM_000577.3,34,19,141,74,34,26,18,15,25,24
Endogenous,CXCL1,NM_001511.3,18,9,199,40,18,15,19,13,13,20
Endogenous,SFXN1,NM_001322977.1,662,1899,732,760,662,305,285,313,622,447
Endogenous,GNLY,NM_012483.3,11,36,134,84,11,34,197,26,41,31
Endogenous,NID2,NM_007361.3,231,168,565,1442,231,477,182,327,339,741
Endogenous,NECTIN1,NM_002855.4,180,90,2622,549,180,187,114,160,207,130
Endogenous,SERPINA1,NM_001127702.1,164,1414,8474,133,164,226,225,95,186,127
Endogenous,PDGFB,NM_002608.2,45,51,119,200,45,30,27,21,51,36
Endogenous,HLA-B,NM_005514.6,4911,2885,29639,22468,4911,3051,6006,3822,4081,3240
Endogenous,VCAM1,NM_001078.3,190,124,625,713,190,136,286,131,287,372
Endogenous,HLA-DPB1,NM_002121.5,383,805,3055,2714,383,2692,4927,2049,2321,2541
Endogenous,HLA-DOA,NM_002119.3,29,49,105,112,29,72,93,50,55,66
Endogenous,GBP2,NM_004120.4,128,77,430,525,128,185,287,109,181,138
Endogenous,ATM,NM_000051.3,343,396,1465,845,343,487,620,449,624,534
Endogenous,PSMB8,NM_004159.4,275,176,1017,838,275,126,412,230,161,195
Endogenous,MLH1,NM_000249.2,173,132,799,779,173,162,165,129,212,216
Endogenous,PLA1A,NM_015900.2,23,31,36,35,23,40,42,37,34,50
Endogenous,NT5E,NM_002526.3,109,52,289,432,109,83,95,92,110,136
Endogenous,PALMD,NM_017734.4,23,74,575,162,23,87,53,120,82,83
Endogenous,UBA7,NM_003335.2,148,83,620,532,148,165,143,87,111,133
Endogenous,PIK3CD,NM_001350234.1,36,36,142,111,36,40,54,28,70,53
Endogenous,NOD2,NM_022162.1,36,40,137,88,36,41,80,33,50,47
Endogenous,CEACAM3,NM_001277163.2,33,39,26,15,33,30,23,35,35,21
Endogenous,RIPK3,NM_006871.3,43,76,90,112,43,33,70,25,43,40
Endogenous,IL1R2,NR_048564.1,16,6,46,32,16,23,20,49,16,30
Endogenous,JAK1,NM_002227.1,316,413,2933,1219,316,524,377,464,486,463
Endogenous,ENO1,NM_001428.3,5271,843,8845,2938,5271,1029,655,855,1153,1248
Endogenous,LILRA1,NM_001278318.1,27,23,51,55,27,38,37,28,34,40
Endogenous,BBS1,NM_024649.4,83,97,406,169,83,96,70,89,95,92
Endogenous,MYD88,NM_002468.3,214,176,1092,1135,214,160,148,136,154,183
Endogenous,CXCR3,NM_001142797.1,13,20,32,55,13,28,39,23,25,18
Endogenous,CD1C,NM_001765.2,9,22,68,25,9,41,15,19,53,34
Endogenous,TLR9,NM_017442.2,20,28,45,61,20,39,35,29,29,32
Endogenous,CCL7,NM_006273.3,67,23,44,69,67,26,19,21,25,31
Endogenous,CPA3,NM_001870.2,68,142,288,1846,68,245,961,111,338,782
Endogenous,SH2D1A,NM_001114937.2,20,29,37,72,20,35,75,47,41,25
Endogenous,CCR4,NM_005508.4,33,24,55,108,33,54,104,35,45,37
Endogenous,HDAC4,NM_006037.3,46,33,269,176,46,106,51,89,82,78
Endogenous,POLD1,NM_001256849.1,44,41,147,175,44,40,35,33,40,48
Endogenous,PTPN11,NM_001330437.1,610,922,2215,1690,610,452,455,404,591,581
Endogenous,JAK2,NM_004972.2,152,236,2467,967,152,290,414,254,373,337
Endogenous,WNT10A,NM_025216.2,17,16,44,47,17,28,68,28,42,27
Endogenous,ITGB2,NM_000211.3,166,174,752,1675,166,452,380,240,409,501
Endogenous,TYMS,NM_001071.1,269,45,412,634,269,83,99,84,365,122
Endogenous,KAT2B,NM_003884.4,125,310,1221,571,125,227,392,488,279,285
Endogenous,ITGA6,NM_001316306.1,65,246,1882,448,65,187,397,497,302,279
Endogenous,TBX21,NM_013351.1,24,28,28,29,24,41,31,24,33,26
Endogenous,BRCA1,NM_007294.3,42,70,163,255,42,51,52,30,48,60
Endogenous,COL17A1,NM_000494.3,51,35,4401,151,51,321,31,47,367,117
Endogenous,BIRC3,NM_001165.4,20,31,65,43,20,30,44,26,31,34
Endogenous,KRAS,NM_004985.3,151,181,979,658,151,141,196,153,231,212
Endogenous,IL11RA,NM_147162.1,39,89,585,127,39,82,51,42,66,68
Endogenous,SIRPA,NM_001040023.1,101,98,630,445,101,185,172,164,163,280
Endogenous,CEBPB,NM_005194.3,357,267,2224,1065,357,345,293,373,386,392
Endogenous,VTCN1,NM_001253849.1,755,68,2273,701,755,1702,276,87,225,188
Endogenous,SGK1,NM_005627.3,161,110,1200,830,161,266,252,227,370,351
Endogenous,NLRC5,NM_032206.4,135,66,240,371,135,93,127,97,103,125
Endogenous,CCL8,NM_005623.2,271,46,131,257,271,61,124,78,52,122
Endogenous,TRAF1,NM_001190945.1,25,82,204,298,25,98,65,46,62,68
Endogenous,ADAM12,NM_003474.5,523,104,1374,2706,523,869,436,381,375,2032
Endogenous,MMRN2,NM_024756.2,61,121,616,246,61,82,96,117,173,97
Endogenous,PTGS2,NM_000963.1,29,40,129,72,29,47,40,38,31,43
Endogenous,SMAD5,NM_005903.5,224,685,1463,956,224,369,280,200,348,477
Endogenous,LCK,NM_005356.4,34,46,92,157,34,57,154,50,92,64
Endogenous,ITGB3,NM_000212.2,45,73,128,83,45,72,50,63,75,52
Endogenous,FCGR2B,NM_001002273.1,99,88,220,413,99,199,452,364,237,342
Endogenous,NRAS,NM_002524.4,294,248,1238,1228,294,330,290,262,392,416
Endogenous,IL34,NM_001172771.1,40,55,297,67,40,63,50,44,69,46
Endogenous,LAMA1,NM_005559.3,57,43,240,102,57,89,54,57,63,69
Endogenous,CLEC4E,NM_014358.3,34,33,72,76,34,41,38,41,54,45
Endogenous,IL18R1,NM_001282399.1,40,37,43,79,40,42,75,61,58,57
Endogenous,MFNG,NM_002405.3,98,29,119,106,98,27,51,47,45,38
Endogenous,TTC30A,NM_152275.3,124,170,364,344,124,125,126,129,128,218
Endogenous,TNFRSF10C,NM_003841.3,73,54,302,73,73,82,107,74,64,63
Positive,POS_C(8),ERCC_00002.1,3852,4739,2453,2224,3852,4504,3552,4425,4346,4501
Positive,POS_A(128),ERCC_00117.1,36727,43726,27681,23254,36727,42598,31296,38967,37992,40969
Positive,POS_F(0.125),ERCC_00034.1,75,85,46,66,75,88,57,84,93,82
Positive,POS_D(2),ERCC_00092.1,725,898,470,503,725,925,602,845,820,864
Positive,POS_B(32),ERCC_00112.1,14523,17129,10228,8647,14523,16351,13062,16298,15828,16719
Positive,POS_E(0.5),ERCC_00035.1,150,158,103,88,150,169,139,189,169,167
Negative,NEG_C(0),ERCC_00019.1,27,29,13,22,27,20,26,31,24,31
Negative,NEG_D(0),ERCC_00076.1,8,15,17,14,8,18,21,16,22,18
Negative,NEG_E(0),ERCC_00098.1,24,20,16,26,24,20,27,22,24,16
Negative,NEG_A(0),ERCC_00096.1,17,29,12,12,17,20,12,17,12,19
Negative,NEG_H(0),ERCC_00154.1,12,11,11,21,12,14,19,9,16,15
Negative,NEG_G(0),ERCC_00144.1,14,7,7,13,14,14,13,17,14,14
Negative,NEG_F(0),ERCC_00126.1,39,39,19,17,39,38,29,26,41,36
Negative,NEG_B(0),ERCC_00041.1,20,17,10,18,20,35,32,33,21,32
Housekeeping,UBB,NM_018955.3,3440,4712,13464,15704,3440,3538,5928,3098,7791,4718
Housekeeping,PUM1,NM_001020658.1,615,750,3278,1478,615,658,451,533,667,653
Housekeeping,TLK2,NM_006852.3,144,418,561,533,144,130,135,517,486,151
Housekeeping,DNAJC14,NM_032364.5,201,244,1057,972,201,110,112,143,191,153
Housekeeping,SF3A1,NM_005877.4,315,313,1616,1190,315,260,227,327,267,313
Housekeeping,POLR2A,NM_000937.2,460,550,3813,2452,460,570,342,449,596,572
Housekeeping,SDHA,NM_004168.3,339,570,2417,2032,339,467,286,425,365,481
Housekeeping,STK11IP,NM_052902.2,103,100,470,359,103,80,79,120,120,95
Housekeeping,NRDE2,NM_017970.3,179,336,589,369,179,171,159,134,237,220
Housekeeping,TBP,NM_001172085.1,117,230,737,411,117,211,195,117,321,254
Housekeeping,OAZ1,NM_004152.2,2242,1825,7198,8339,2242,1315,2365,1823,1643,2122
Housekeeping,TBC1D10B,NM_015527.3,92,86,578,594,92,111,54,115,97,98
Housekeeping,GUSB,NM_000181.1,146,177,979,638,146,146,224,149,166,177
Housekeeping,PSMC4,NM_006503.2,209,359,1253,1265,209,140,205,205,374,216
Housekeeping,TFRC,NM_003234.1,489,142,971,389,489,248,207,184,258,184
Housekeeping,ABCF1,NM_001090.2,170,258,901,870,170,163,187,162,289,194
Housekeeping,TMUB2,NM_177441.2,82,172,628,527,82,125,55,88,81,121
Housekeeping,MRPL19,NM_014763.3,232,223,771,675,232,211,200,169,290,280
Housekeeping,G6PD,NM_000402.4,92,199,336,342,92,61,48,87,83,71
Housekeeping,ERCC3,NM_000122.1,454,403,1321,1163,454,449,423,578,547,586
